iter	Logloss
0	0.6624902985
1	0.6349361838
2	0.6095803189
3	0.5874213102
4	0.5687488621
5	0.5501474811
6	0.5329134087
7	0.5168372844
8	0.5020852477
9	0.4894630302
10	0.4785459164
11	0.4669730636
12	0.4569769289
13	0.4470697127
14	0.4386594363
15	0.430070034
16	0.4230027058
17	0.4166095912
18	0.4100676361
19	0.4039064743
20	0.398634071
21	0.3934572383
22	0.3880569391
23	0.3845393699
24	0.3802801762
25	0.3767539845
26	0.3738414646
27	0.3699600781
28	0.3668590938
29	0.364716939
30	0.3620618533
31	0.3593748563
32	0.3573183543
33	0.354518005
34	0.3523219409
35	0.3501144403
36	0.3479159663
37	0.3453060479
38	0.3431232931
39	0.3415314931
40	0.3402157296
41	0.338972913
42	0.3377098563
43	0.3358225382
44	0.3346672485
45	0.3332598931
46	0.332344019
47	0.3305146397
48	0.3292254432
49	0.3281045312
50	0.3272047454
51	0.32605375
52	0.3244546019
53	0.3236638128
54	0.3228775446
55	0.3218932355
56	0.3202113546
57	0.3189094385
58	0.3182635415
59	0.3174610887
60	0.3166450627
61	0.3158376583
62	0.3150600655
63	0.3144851446
64	0.3136753129
65	0.3130335811
66	0.3123658519
67	0.3111611943
68	0.3103429379
69	0.3096977248
70	0.3091290973
71	0.3086517472
72	0.3078901436
73	0.3072413843
74	0.3067035304
75	0.3060105036
76	0.3053727773
77	0.3047552295
78	0.3037005009
79	0.3027309667
80	0.3019944598
81	0.3014039734
82	0.3009121356
83	0.3000565184
84	0.2996464821
85	0.2990696895
86	0.2985235498
87	0.2979864799
88	0.2974498972
89	0.2964265432
90	0.295921784
91	0.2952999445
92	0.294752898
93	0.294493334
94	0.2938440686
95	0.2934024178
96	0.2928705076
97	0.2925446608
98	0.2922692516
99	0.2919274712
100	0.2914708416
101	0.2909881822
102	0.2900612558
103	0.2896436285
104	0.2892947176
105	0.2887477295
106	0.2884020376
107	0.2879717519
108	0.2876072209
109	0.2871732946
110	0.2869976278
111	0.2866395133
112	0.2859292843
113	0.2854637681
114	0.285040889
115	0.2843766839
116	0.2840842857
117	0.2836854188
118	0.2833471892
119	0.2830421629
120	0.2825610897
121	0.2822513955
122	0.2819517676
123	0.2815979343
124	0.2811495556
125	0.2807376232
126	0.2804647512
127	0.2801159488
128	0.2797824842
129	0.2790663584
130	0.2787846154
131	0.2782832364
132	0.2780543058
133	0.2777284796
134	0.2775346176
135	0.2772018723
136	0.2768580644
137	0.2765164969
138	0.2761597682
139	0.2757734706
140	0.2752462615
141	0.2749898917
142	0.2746302236
143	0.274421354
144	0.2738756544
145	0.2736395667
146	0.2733124048
147	0.2730042266
148	0.2727573971
149	0.2725817283
150	0.2723911712
151	0.2720977118
152	0.2718785314
153	0.2717045209
154	0.2713961394
155	0.2712419279
156	0.2709859017
157	0.2705961836
158	0.2703180928
159	0.2699006855
160	0.2696876135
161	0.2694482453
162	0.2693030873
163	0.2689533034
164	0.2686776635
165	0.2684534781
166	0.2682055734
167	0.2680575716
168	0.2677958346
169	0.2675077493
170	0.2671270654
171	0.2666623518
172	0.2664679545
173	0.2662474372
174	0.2657508058
175	0.2654032377
176	0.2652489159
177	0.2648579037
178	0.2647017983
179	0.264109228
180	0.2634867614
181	0.2632719264
182	0.2630666459
183	0.2625838309
184	0.2624233992
185	0.2622162867
186	0.2619961689
187	0.2617815528
188	0.2615757464
189	0.2613489466
190	0.2611576158
191	0.2609024998
192	0.2606404004
193	0.2602207021
194	0.2600587018
195	0.2597608706
196	0.259574695
197	0.259300821
198	0.2590579202
199	0.2588194399
200	0.2585527416
201	0.2584293085
202	0.25823774
203	0.2579258222
204	0.257613537
205	0.2574317723
206	0.2571544976
207	0.2570259136
208	0.2567264241
209	0.2564947423
210	0.2562441515
211	0.2559947613
212	0.2558255149
213	0.2556765178
214	0.2555155224
215	0.255375257
216	0.2550563682
217	0.2547882061
218	0.2546637593
219	0.254405739
220	0.2542159917
221	0.253968453
222	0.2538150836
223	0.2535398824
224	0.2534081742
225	0.2531715873
226	0.2530202968
227	0.2529011169
228	0.2526889454
229	0.2525324546
230	0.2523510672
231	0.2520837104
232	0.2519246296
233	0.2517870912
234	0.2516358031
235	0.2514774843
236	0.2510949525
237	0.2508953148
238	0.2506009985
239	0.2503826068
240	0.2502818551
241	0.2501668788
242	0.249924864
243	0.2498061108
244	0.2496061158
245	0.2494475527
246	0.2493212681
247	0.2490905017
248	0.2489211873
249	0.2486531733
250	0.2484044619
251	0.2482997022
252	0.2481294455
253	0.2479010621
254	0.2477027705
255	0.2472981183
256	0.2471009957
257	0.2468765958
258	0.2465693961
259	0.2463755044
260	0.2461701656
261	0.2459338857
262	0.2457188396
263	0.245388913
264	0.2452239116
265	0.2450308658
266	0.24486755
267	0.2446520351
268	0.244368772
269	0.244115159
270	0.2439290337
271	0.2437145572
272	0.2435311814
273	0.2432009168
274	0.2429860493
275	0.2428472991
276	0.2426727937
277	0.2424950566
278	0.2423671201
279	0.2421653992
280	0.2420374972
281	0.2418331597
282	0.2414180735
283	0.2412522707
284	0.2410881605
285	0.2408135882
286	0.2406828687
287	0.2404617106
288	0.2403733044
289	0.2400124897
290	0.2397367208
291	0.2395310369
292	0.2393107726
293	0.2390513211
294	0.2388626981
295	0.2386160595
296	0.2384080676
297	0.2383269451
298	0.2381667453
299	0.2379244965
300	0.2377340849
301	0.2375793164
302	0.237339026
303	0.2372134931
304	0.2369959481
305	0.236788763
306	0.2365639512
307	0.236347408
308	0.2362560156
309	0.2360014046
310	0.2358928583
311	0.2356449939
312	0.2355156791
313	0.2353809495
314	0.2352357403
315	0.2350601632
316	0.2348185806
317	0.2342847891
318	0.2341401822
319	0.2339982235
320	0.2338668416
321	0.2336344217
322	0.2333268389
323	0.2329236167
324	0.2327640146
325	0.2326077364
326	0.2324005757
327	0.2322566406
328	0.2319826356
329	0.2317020429
330	0.231528761
331	0.2313375993
332	0.2311146904
333	0.2309354019
334	0.2307771295
335	0.2305621081
336	0.2302534671
337	0.2300042307
338	0.2298224934
339	0.2296989848
340	0.229243774
341	0.2290342401
342	0.2289345216
343	0.2287576935
344	0.2286532231
345	0.2284451006
346	0.2281560737
347	0.2280731835
348	0.2277194596
349	0.2274512372
350	0.2272817932
351	0.2270022247
352	0.2267618652
353	0.2265087877
354	0.2263304203
355	0.2261912341
356	0.225972131
357	0.2256521945
358	0.2254713334
359	0.2252689896
360	0.2250962542
361	0.2247744437
362	0.2245782194
363	0.224429364
364	0.22407566
365	0.2236669601
366	0.2234937812
367	0.2232267369
368	0.2230748784
369	0.2229081999
370	0.2226685098
371	0.2225603719
372	0.2223445886
373	0.2221304276
374	0.2219647053
375	0.2218113485
376	0.2216533948
377	0.2213691466
378	0.221198082
379	0.2210771304
380	0.2209786086
381	0.2208595983
382	0.220777143
383	0.2206074354
384	0.2201474006
385	0.220033723
386	0.2197405299
387	0.2195738291
388	0.2194720295
389	0.2192886622
390	0.2191199144
391	0.2188617106
392	0.2186422376
393	0.2184774668
394	0.2182567162
395	0.2180761694
396	0.2178764082
397	0.2176326745
398	0.2173663907
399	0.2172367853
400	0.2170795234
401	0.2169309632
402	0.216440424
403	0.2162432853
404	0.2160651271
405	0.2159333838
406	0.2157686714
407	0.215599667
408	0.2154062759
409	0.2152198812
410	0.2149996682
411	0.2147930793
412	0.2145933361
413	0.2144861339
414	0.2143317386
415	0.2140971788
416	0.2139363546
417	0.2137841083
418	0.2135695017
419	0.2133997833
420	0.2131626905
421	0.2129046578
422	0.2127606802
423	0.2126091054
424	0.2124737623
425	0.2123405101
426	0.2121981877
427	0.2120463959
428	0.2118265177
429	0.2116317297
430	0.2114584755
431	0.2113211211
432	0.21117187
433	0.2110260316
434	0.21086882
435	0.2107851831
436	0.2106831562
437	0.2106046523
438	0.2104074032
439	0.2102586463
440	0.2101303402
441	0.2100086581
442	0.2098092675
443	0.2097047509
444	0.2096284166
445	0.2095513554
446	0.209416557
447	0.2092628577
448	0.2091262724
449	0.209009377
450	0.2088853025
451	0.2087549561
452	0.2085807731
453	0.2084024071
454	0.2082773585
455	0.2080555402
456	0.2079031701
457	0.2076969646
458	0.2075379357
459	0.2073974447
460	0.2072781865
461	0.2071309857
462	0.2069797839
463	0.2068701832
464	0.2067088486
465	0.2065693393
466	0.206413415
467	0.2062803487
468	0.2061523056
469	0.2060596347
470	0.2058742079
471	0.2056413086
472	0.205459722
473	0.2052897554
474	0.2051417955
475	0.2050296737
476	0.2047609756
477	0.2045421207
478	0.2043618525
479	0.2040341773
480	0.2039114204
481	0.203784842
482	0.2036230233
483	0.203489812
484	0.2034131194
485	0.2033009739
486	0.203163388
487	0.2030429521
488	0.2028764402
489	0.2027328536
490	0.2025038452
491	0.2023948891
492	0.2023191379
493	0.2021887183
494	0.2020388532
495	0.2019245829
496	0.2017566011
497	0.2016250342
498	0.2015199032
499	0.2014300576
500	0.2012366668
501	0.2011261375
502	0.2010526006
503	0.2008409616
504	0.200633514
505	0.200471296
506	0.2003270297
507	0.2002265576
508	0.2001140019
509	0.1999728075
510	0.1998190073
511	0.199678083
512	0.1995009282
513	0.1993778745
514	0.1992688269
515	0.1991480957
516	0.1989924178
517	0.198871322
518	0.1987480418
519	0.1986065681
520	0.1984951284
521	0.198299292
522	0.1981680525
523	0.198065056
524	0.1978977895
525	0.1976950361
526	0.1975263066
527	0.1973953215
528	0.1972472162
529	0.1970508526
530	0.1969310026
531	0.1967924354
532	0.1966059108
533	0.1964843692
534	0.1963489229
535	0.1962809254
536	0.1961592487
537	0.1960471315
538	0.1958418203
539	0.1956690445
540	0.1955832145
541	0.1952662142
542	0.195156267
543	0.1950573875
544	0.1948693849
545	0.1947284307
546	0.1946337714
547	0.194512879
548	0.1944135977
549	0.1942505979
550	0.1941549507
551	0.194023778
552	0.193889612
553	0.1937934794
554	0.1936937294
555	0.1935609808
556	0.1934418324
557	0.1932550261
558	0.1931577078
559	0.1930447276
560	0.1929838167
561	0.1928548098
562	0.1927974606
563	0.192682127
564	0.1925457918
565	0.1923080544
566	0.1922368706
567	0.192071722
568	0.1919903344
569	0.1919082913
570	0.1918239781
571	0.1916680373
572	0.1915713115
573	0.1914543994
574	0.1913648087
575	0.1912646941
576	0.1911815131
577	0.1910332757
578	0.1909147944
579	0.1907939523
580	0.1906659232
581	0.1905339303
582	0.1904384269
583	0.1903590403
584	0.1902786262
585	0.190206191
586	0.1901078708
587	0.1900131795
588	0.1899280825
589	0.1898055779
590	0.1897029098
591	0.1895799891
592	0.1894039776
593	0.1892392164
594	0.1891610519
595	0.1890537473
596	0.188916145
597	0.1887281215
598	0.1886155504
599	0.1884812038
600	0.1883192032
601	0.1882146481
602	0.1880761948
603	0.1879235976
604	0.1877256946
605	0.187622876
606	0.1874832153
607	0.1873722908
608	0.1872216154
609	0.1871448047
610	0.1870550418
611	0.1869440001
612	0.1868381103
613	0.1867256568
614	0.1866266021
615	0.1865610957
616	0.1863924572
617	0.1862668907
618	0.1861558516
619	0.1860353991
620	0.1859544818
621	0.185856324
622	0.1857604725
623	0.1856209852
624	0.1854158103
625	0.1852996836
626	0.1852364343
627	0.1850869511
628	0.1849760017
629	0.1849059936
630	0.1848118131
631	0.1847147392
632	0.1846112761
633	0.1844945533
634	0.1843913153
635	0.1843115391
636	0.1841807426
637	0.1840676633
638	0.1840021837
639	0.1838744437
640	0.1838209055
641	0.1837274844
642	0.1836238663
643	0.1834063854
644	0.1832705781
645	0.1832042632
646	0.1831391958
647	0.1830468822
648	0.182948433
649	0.1828812662
650	0.1827785696
651	0.1826263513
652	0.1825166564
653	0.1823796626
654	0.1823221184
655	0.1820958426
656	0.182014079
657	0.1819275363
658	0.1818745763
659	0.181765977
660	0.1816814928
661	0.1815920274
662	0.1814704503
663	0.1813478489
664	0.181243904
665	0.181159709
666	0.1810109484
667	0.1809547721
668	0.1808843466
669	0.1807430055
670	0.1806437352
671	0.1805263611
672	0.1804555525
673	0.1803737906
674	0.1802495159
675	0.1801550396
676	0.1800832902
677	0.1799864145
678	0.1799158582
679	0.1798061884
680	0.1796839552
681	0.1795931562
682	0.1795361017
683	0.179496181
684	0.179401476
685	0.1793162469
686	0.1792009262
687	0.1790835341
688	0.1789914521
689	0.1788797233
690	0.1787018683
691	0.1786365528
692	0.1785327974
693	0.178331585
694	0.1782488085
695	0.178103926
696	0.1780275923
697	0.1779515117
698	0.17785336
699	0.1776366516
700	0.1775254539
701	0.1774129727
702	0.1772714741
703	0.1771204137
704	0.1770500384
705	0.1769657962
706	0.1768940437
707	0.1768182544
708	0.1766865122
709	0.1765567567
710	0.1764342449
711	0.1763186652
712	0.1762300576
713	0.1760862941
