iter	Passed	Remaining
0	514	514080
1	592	295494
2	641	213337
3	677	168647
4	718	142936
5	792	131288
6	854	121173
7	947	117550
8	1037	114228
9	1126	111491
10	1269	114132
11	1336	110017
12	1398	106174
13	1452	102329
14	1514	99465
15	1572	96728
16	1613	93323
17	1652	90158
18	1730	89330
19	1767	86591
20	1818	84784
21	1861	82770
22	1899	80682
23	1945	79129
24	1984	77404
25	2030	76064
26	2078	74893
27	2120	73611
28	2244	75157
29	2294	74191
30	2342	73226
31	2385	72161
32	2444	71636
33	2495	70900
34	2534	69880
35	2578	69049
36	2611	67981
37	2676	67757
38	2717	66963
39	2762	66306
40	2799	65480
41	2846	64920
42	2878	64063
43	2931	63696
44	2982	63284
45	3029	62829
46	3065	62167
47	3096	61420
48	3120	60571
49	3166	60172
50	3199	59537
51	3224	58783
52	3255	58164
53	3284	57537
54	3318	57025
55	3348	56446
56	3384	56000
57	3418	55521
58	3445	54951
59	3481	54546
60	3506	53979
61	3536	53505
62	3567	53054
63	3593	52559
64	3618	52056
65	3649	51645
66	3677	51205
67	3704	50777
68	3735	50399
69	3767	50057
70	3795	49661
71	3819	49232
72	3848	48876
73	3885	48616
74	3915	48292
75	3943	47944
76	3967	47553
77	3996	47242
78	4024	46914
79	4048	46560
80	4078	46271
81	4114	46066
82	4148	45835
83	4179	45578
84	4207	45295
85	4233	44988
86	4260	44712
87	4295	44515
88	4323	44254
89	4348	43966
90	4378	43740
91	4406	43492
92	4432	43228
93	4458	42969
94	4483	42706
95	4512	42494
96	4541	42274
97	4567	42038
98	4596	41831
99	4624	41618
100	4647	41370
101	4675	41158
102	4705	40978
103	4737	40815
104	4763	40602
105	4795	40444
106	4822	40248
107	4847	40033
108	4874	39844
109	4906	39695
110	4930	39487
111	4958	39314
112	4990	39171
113	5019	39012
114	5043	38812
115	5072	38659
116	5097	38468
117	5138	38404
118	5161	38211
119	5188	38048
120	5220	37924
121	5249	37781
122	5275	37616
123	5305	37480
124	5336	37355
125	5360	37180
126	5388	37037
127	5412	36871
128	5439	36724
129	5470	36612
130	5495	36457
131	5530	36366
132	5556	36224
133	5583	36083
134	5605	35917
135	5634	35792
136	5657	35637
137	5684	35506
138	5711	35380
139	5737	35244
140	5765	35121
141	5789	34984
142	5816	34856
143	5842	34731
144	5871	34624
145	5898	34502
146	5922	34368
147	5960	34310
148	5983	34174
149	6009	34056
150	6034	33926
151	6063	33829
152	6087	33698
153	6121	33629
154	6150	33530
155	6179	33431
156	6210	33347
157	6235	33229
158	6263	33127
159	6295	33050
160	6323	32954
161	6352	32862
162	6381	32766
163	6409	32672
164	6433	32558
165	6462	32469
166	6492	32385
167	6516	32272
168	6543	32174
169	6568	32069
170	6599	31995
171	6627	31905
172	6654	31811
173	6685	31735
174	6721	31685
175	6751	31609
176	6774	31500
177	6805	31426
178	6832	31335
179	6856	31236
180	6884	31153
181	6915	31083
182	6941	30988
183	6968	30905
184	6998	30831
185	7024	30743
186	7053	30665
187	7080	30583
188	7120	30552
189	7151	30486
190	7178	30403
191	7204	30317
192	7232	30239
193	7259	30162
194	7284	30072
195	7310	29989
196	7337	29909
197	7363	29827
198	7387	29737
199	7418	29672
200	7448	29608
201	7475	29531
202	7499	29442
203	7526	29366
204	7551	29285
205	7580	29218
206	7606	29138
207	7630	29054
208	7659	28987
209	7681	28896
210	7707	28819
211	7732	28741
212	7756	28660
213	7778	28570
214	7801	28485
215	7830	28423
216	7856	28348
217	7879	28263
218	7904	28188
219	7926	28102
220	7955	28041
221	7982	27974
222	8007	27901
223	8030	27819
224	8058	27758
225	8082	27680
226	8126	27674
227	8153	27606
228	8181	27546
229	8210	27486
230	8243	27443
231	8274	27392
232	8299	27319
233	8324	27250
234	8346	27171
235	8375	27113
236	8406	27064
237	8429	26987
238	8455	26924
239	8486	26873
240	8508	26796
241	8535	26734
242	8560	26666
243	8590	26616
244	8618	26560
245	8653	26521
246	8682	26470
247	8710	26411
248	8738	26356
249	8768	26304
250	8800	26262
251	8828	26204
252	8858	26155
253	8889	26107
254	8915	26047
255	8942	25989
256	8971	25936
257	9001	25887
258	9031	25838
259	9064	25799
260	9117	25816
261	9151	25778
262	9181	25728
263	9223	25713
264	9274	25722
265	9308	25686
266	9347	25663
267	9384	25632
268	9420	25599
269	9455	25564
270	9505	25569
271	9546	25551
272	9582	25518
273	9620	25489
274	9667	25487
275	9700	25447
276	9733	25404
277	9758	25342
278	9780	25274
279	9802	25206
280	9829	25151
281	9858	25099
282	9885	25045
283	9915	24997
284	9946	24952
285	9977	24908
286	10001	24847
287	10032	24801
288	10065	24764
289	10135	24815
290	10167	24772
291	10198	24728
292	10232	24689
293	10263	24645
294	10293	24598
295	10322	24551
296	10351	24502
297	10380	24454
298	10408	24401
299	10436	24352
300	10472	24319
301	10497	24262
302	10525	24212
303	10554	24163
304	10582	24113
305	10610	24065
306	10639	24017
307	10669	23971
308	10694	23915
309	10726	23875
310	10754	23826
311	10780	23772
312	10808	23724
313	10838	23678
314	10877	23653
315	10906	23608
316	10935	23560
317	10963	23512
318	10994	23471
319	11025	23429
320	11052	23378
321	11086	23343
322	11124	23317
323	11152	23269
324	11188	23237
325	11213	23183
326	11243	23140
327	11279	23108
328	11310	23067
329	11338	23020
330	11367	22976
331	11397	22932
332	11424	22882
333	11451	22834
334	11476	22781
335	11507	22741
336	11536	22696
337	11563	22648
338	11591	22601
339	11618	22554
340	11649	22512
341	11691	22493
342	11720	22449
343	11749	22406
344	11772	22351
345	11803	22310
346	11833	22267
347	11857	22215
348	11883	22166
349	11919	22135
350	11944	22086
351	11968	22033
352	11994	21983
353	12021	21937
354	12053	21900
355	12099	21888
356	12128	21845
357	12156	21799
358	12183	21753
359	12214	21714
360	12238	21662
361	12265	21617
362	12293	21572
363	12321	21528
364	12352	21489
365	12380	21445
366	12411	21407
367	12440	21365
368	12466	21318
369	12501	21286
370	12533	21249
371	12559	21201
372	12585	21155
373	12616	21117
374	12646	21077
375	12670	21027
376	12697	20982
377	12728	20945
378	12758	20904
379	12783	20857
380	12821	20830
381	12849	20787
382	12872	20737
383	12912	20714
384	12944	20677
385	12970	20631
386	12997	20587
387	13027	20548
388	13055	20505
389	13081	20461
390	13111	20421
391	13146	20390
392	13179	20355
393	13216	20327
394	13248	20292
395	13274	20247
396	13313	20221
397	13344	20184
398	13367	20135
399	13393	20089
400	13420	20047
401	13448	20005
402	13476	19963
403	13505	19923
404	13534	19883
405	13562	19842
406	13589	19799
407	13616	19757
408	13646	19718
409	13673	19676
410	13708	19645
411	13739	19609
412	13764	19562
413	13790	19519
414	13820	19482
415	13850	19443
416	13876	19400
417	13905	19361
418	13933	19320
419	13961	19279
420	13987	19237
421	14019	19202
422	14056	19173
423	14090	19142
424	14119	19103
425	14157	19075
426	14189	19040
427	14225	19012
428	14283	19011
429	14308	18966
430	14338	18929
431	14372	18897
432	14403	18860
433	14433	18823
434	14461	18783
435	14490	18744
436	14528	18718
437	14552	18672
438	14582	18634
439	14606	18590
440	14633	18549
441	14664	18512
442	14694	18475
443	14720	18433
444	14746	18391
445	14772	18349
446	14801	18311
447	14830	18272
448	14854	18228
449	14883	18190
450	14914	18155
451	14942	18115
452	14966	18072
453	14993	18031
454	15021	17992
455	15058	17964
456	15092	17932
457	15129	17903
458	15161	17870
459	15190	17832
460	15223	17799
461	15252	17761
462	15281	17724
463	15315	17692
464	15342	17652
465	15368	17611
466	15397	17573
467	15429	17539
468	15453	17496
469	15480	17457
470	15511	17421
471	15539	17383
472	15567	17344
473	15596	17307
474	15629	17274
475	15656	17234
476	15682	17194
477	15722	17169
478	15747	17128
479	15778	17093
480	15809	17058
481	15835	17018
482	15860	16976
483	15887	16937
484	15914	16898
485	15945	16864
486	15974	16827
487	16001	16788
488	16040	16762
489	16064	16720
490	16095	16685
491	16125	16650
492	16148	16607
493	16176	16569
494	16205	16532
495	16235	16497
496	16261	16458
497	16289	16419
498	16315	16381
499	16343	16343
500	16371	16306
501	16402	16272
502	16432	16236
503	16456	16194
504	16489	16162
505	16515	16123
506	16545	16089
507	16576	16054
508	16601	16014
509	16627	15975
510	16662	15945
511	16700	15917
512	16737	15889
513	16765	15851
514	16789	15811
515	16856	15811
516	16917	15805
517	16961	15782
518	16995	15750
519	17043	15732
520	17076	15700
521	17110	15668
522	17141	15634
523	17170	15597
524	17194	15557
525	17224	15521
526	17308	15534
527	17364	15523
528	17390	15483
529	17420	15447
530	17445	15408
531	17476	15374
532	17510	15341
533	17536	15303
534	17573	15274
535	17600	15236
536	17625	15196
537	17653	15159
538	17686	15126
539	17713	15089
540	17737	15048
541	17768	15014
542	17795	14976
543	17819	14937
544	17850	14902
545	17883	14869
546	17914	14835
547	17940	14797
548	17971	14763
549	18002	14729
550	18029	14691
551	18061	14658
552	18097	14628
553	18121	14589
554	18149	14552
555	18183	14520
556	18209	14482
557	18233	14443
558	18262	14407
559	18291	14372
560	18318	14335
561	18346	14298
562	18374	14262
563	18405	14228
564	18431	14190
565	18460	14155
566	18502	14129
567	18529	14092
568	18557	14056
569	18585	14020
570	18612	13983
571	18644	13950
572	18688	13927
573	18731	13901
574	18775	13877
575	18854	13879
576	18923	13872
577	18957	13840
578	18986	13805
579	19021	13774
580	19052	13740
581	19084	13706
582	19125	13679
583	19155	13644
584	19188	13612
585	19217	13576
586	19244	13539
587	19274	13505
588	19307	13472
589	19334	13435
590	19361	13398
591	19390	13363
592	19421	13329
593	19451	13295
594	19480	13259
595	19508	13224
596	19541	13191
597	19572	13157
598	19602	13123
599	19636	13090
600	19665	13055
601	19699	13023
602	19733	12992
603	19763	12957
604	19790	12920
605	19820	12886
606	19849	12851
607	19878	12816
608	19906	12780
609	19942	12750
610	19970	12714
611	20004	12682
612	20043	12654
613	20071	12618
614	20109	12588
615	20142	12556
616	20171	12521
617	20204	12488
618	20231	12452
619	20262	12418
620	20288	12382
621	20311	12343
622	20336	12306
623	20366	12272
624	20393	12236
625	20416	12197
626	20447	12164
627	20473	12127
628	20501	12092
629	20528	12056
630	20559	12022
631	20591	11989
632	20614	11951
633	20642	11916
634	20672	11882
635	20697	11845
636	20722	11809
637	20752	11775
638	20785	11742
639	20809	11705
640	20837	11670
641	20864	11634
642	20901	11604
643	20928	11569
644	20957	11534
645	20995	11505
646	21022	11469
647	21050	11434
648	21079	11400
649	21103	11363
650	21131	11328
651	21162	11295
652	21190	11260
653	21217	11225
654	21242	11188
655	21268	11153
656	21301	11120
657	21329	11085
658	21354	11049
659	21387	11018
660	21414	10982
661	21443	10948
662	21474	10915
663	21499	10879
664	21529	10845
665	21557	10810
666	21586	10777
667	21612	10741
668	21637	10705
669	21665	10671
670	21724	10651
671	21750	10616
672	21783	10584
673	21813	10550
674	21842	10516
675	21870	10482
676	21897	10447
677	21928	10414
678	21959	10381
679	22022	10363
680	22052	10329
681	22078	10294
682	22112	10263
683	22143	10230
684	22173	10196
685	22198	10160
686	22231	10128
687	22260	10095
688	22288	10060
689	22321	10028
690	22354	9996
691	22380	9961
692	22408	9926
693	22443	9895
694	22473	9862
695	22506	9830
696	22539	9798
697	22570	9765
698	22596	9730
699	22632	9699
700	22663	9666
701	22690	9632
702	22726	9601
703	22759	9569
704	22786	9534
705	22816	9501
706	22845	9467
707	22876	9434
708	22904	9400
709	22934	9367
710	22973	9338
711	23016	9309
712	23042	9275
713	23077	9243
714	23102	9208
715	23126	9173
716	23159	9141
717	23187	9107
718	23216	9073
719	23246	9040
720	23275	9006
721	23312	8976
722	23338	8941
723	23369	8908
724	23395	8874
725	23421	8839
726	23453	8806
727	23480	8773
728	23506	8738
729	23534	8704
730	23569	8673
731	23597	8639
